Transaction_ID,Customer_ID,Date,Customer_Age,Gender,Country,Product_Category,Purchase_Amount,Quantity,Rating,Payment_Method,Order_Status
TXN-10039,CUST-198,2022-06-22,24,female,FR,Books,51.92,7,1.0,Credit Card,Refunded
TXN-10040,CUST-242,2023/03/16,46 yrs,Female,Great Britain,Beauty,$429.52,8,4.1,bank_transfer,Cancelled
TXN-10041,CUST-215,04-02-2022,22,female,canada,Beauty & Health,$201.00,4,1.4,CC,Completed
TXN-10042,CUST-252,2023-08-04,38,M,CA,books,$174.29,9,1.2,bank_transfer,
TXN-10043,CUST-206,,71,male,canada,Home,€175.87,4,2.7,CC,
TXN-10044,CUST-350,"Mar 02, 2024",44,Male,Deutschland,books,,,4.4,Cash,completed
TXN-10045,CUST-278,2023-05-22,45 yrs,Femal,USA,Electronics,$205.68,4,3.2,paypal,canceled
TXN-10046,CUST-240,28/07/2022,27,MALE,Great Britain,Beauty,$68.46,10,4.9,Wire Transfer,Pending
TXN-10047,CUST-393,04-12-2024,,,france,CLOTHING,244.95,4,3.5,CC,COMPLETE
TXN-10048,CUST-294,"May 22, 2023",41,male,canada,electronics,€232.86,4,0.0,Wire Transfer,pending
TXN-10049,CUST-302,26/05/2024,44,F,usa,Apparel,592.73,2,1.0,CC,pending
TXN-10050,,04-23-2024,41,Other,CA,Apparel,$163.63,10,3.2,CC,Returned
TXN-10051,CUST-247,"Jul 13, 2022",36,male,france,Apparel,284.88,3,4.1,bank_transfer,Refunded
TXN-10052,CUST-140,22/03/2024,28,F,UK,Books,,10,2.2,Cash,completed
TXN-10053,CUST-326,,36,MALE,CA,Home & Kitchen,167.22,3,4.3,CC,Refunded
TXN-10054,CUST-345,2022/08/30,55,female,United States,books,181.28,1,4.1,Wire Transfer,completed
TXN-10055,CUST-375,09-12-2022,,F,CA,Home & Kitchen,575.36,10,4.6,Cash,Completed
TXN-10056,CUST-387,"Oct 25, 2023",69,Female,canada,Home & Kitchen,-$111.05,2,3.2,Cash,Returned
TXN-10057,CUST-170,26/04/2023,63,M,United Kingdom,CLOTHING,464.68,,1.5,credit_card,COMPLETE
TXN-10058, CUST_400 ,"Sep 24, 2024",50,,germany,Electronics,537.76,7,1.9,paypal,Returned
TXN-10059,CUST-125,"Jan 01, 2024",63,MALE,FR,Beauty,-$152.64,3,,CC,Completed
TXN-10060,CUST-371,2024/01/24,31,F,France,electronics,€375.49,2,3.1,bank_transfer,Completed
TXN-10061,CUST-219,2022/04/08,55,Femal,U.S.A.,CLOTHING,345.52,3,4.6,PayPal,
TXN-10062,,07/12/2022,,MALE,,Home & Kitchen,348.06,3,4.8,bank_transfer,Returned
TXN-10063,CUST-341,2022/12/29,42,M,usa, Electronics ,476.64,2,5.0,CC,
TXN-10064, CUST_170 ,2024/09/17,59,Femal,DE,Home & Kitchen,598.69,1,4.8,Credit Card,Pending
TXN-10216, CUST_381 ,2024-04-09,22 yrs,Male,United States, Electronics ,$209.65,-1,3.9,Cash,completed
TXN-10066,CUST-180,,32,F,UK, Electronics ,354.53 USD,10,10.0,Wire Transfer,Pending
TXN-10067,CUST-343,01-26-2023,54,M,,Electronics,554.1,7,1.3,paypal,canceled
TXN-10068,CUST-202,11-19-2023,64,Male,,Clothing,585.85,8,3.2,Cash,Completed
,,2024/07/02,64,M,canada,books,$198.34,8,1.1,Credit Card,
TXN-10070,CUST-130,,74,M,CA,Home,184.22,9,1.3,bank_transfer,Pending
TXN-10071,CUST-145,2022/06/23,21,Male,France,Apparel,$248.22,10,2.6,Credit Card,completed
TXN-10072,CUST-218,"Dec 14, 2022",60,M,CA,Home,271.81,5,2.9,CC,COMPLETE
TXN-10073,CUST-119,2022/11/21,46,Female,United Kingdom,Apparel,200.25 USD,8,,bank_transfer,Cancelled
TXN-10074,CUST-189,2022-09-24,30,,DE,books,201.73,1,4.9,paypal,Refunded
TXN-10075,CUST-190,"May 11, 2022",36,female,DE,CLOTHING,239.06,3,1.1,bank_transfer,Cancelled
TXN-10076,CUST-118,05-04-2024,39,  Female  ,FR,Books,,2,2.0,paypal,Completed
TXN-10077,CUST-303,"Aug 06, 2024",67,Female,United States, Electronics ,263.21,9,3.5,credit_card,completed
TXN-10078,CUST-195,06-16-2024,32,MALE,United States, beauty ,,6,2.7,Wire Transfer,completed
TXN-10079,CUST-248,02-19-2024,65,M,Great Britain,home,,6,4.7,Credit Card,Cancelled
TXN-10080,CUST-104,23/03/2023,62,Male,uk,Electronics,532.82,2,1.3,Cash,COMPLETE
TXN-10081,CUST-154,19/05/2023,64,male,us,electronics,$320.31,9,2.7,Credit Card,Pending
TXN-10082,CUST-271,"Aug 03, 2024",44,F,france,Apparel,€13.93,1,,CC,canceled
TXN-10083,CUST-378,2022-06-02,40,Other,CA,CLOTHING,76.81,8,1.9,Cash,Completed
TXN-10084,CUST-168,"Feb 06, 2022",22,Female,UK, Electronics ,354.05,6,1.3,Credit Card,completed
TXN-10085,CUST-339,"Dec 24, 2023",59,MALE,france, beauty ,593.12,4,1.9,Wire Transfer,Returned
TXN-10086,CUST-157,"Jul 05, 2024",32,Femal,us,Electronics,-$150.75,-1,2.4,Cash,canceled
TXN-10087,CUST-334,,44,female,,,90.18,2,3.1,bank_transfer,Refunded
TXN-10413,CUST-195,2023/12/28,70,F,france, Electronics ,$308.07,8,3.5,PayPal,Returned
TXN-10089, CUST_272 ,2023-05-20,26,Other,france,electronics,414.69,6,2.8,paypal,COMPLETE
TXN-10090,CUST-390,06/06/2024,33,male,USA,electronics,278.74,8,2.5,CC,Completed
TXN-10091,CUST-198,06/04/2022,44,  Female  ,United Kingdom,Beauty,283.16,7,2.8,Wire Transfer,completed
TXN-10092, CUST_307 ,04/07/2022,60,F,France,Beauty,142.6,10,4.4,Cash,Returned
,CUST-363,04-22-2024,34,M,United Kingdom,books,$328.14,7,4.4,CC,pending
TXN-10094,CUST-305,2023/11/11,39,MALE,france,Home,$202.29,9,1.7,Wire Transfer,canceled
,CUST-194,2024-09-21,23,MALE,canada,Beauty,,2,3.5,Wire Transfer,Completed
TXN-10096,CUST-344,08/08/2023,50,Female,france,books,261.08,4,2.0,Credit Card,Completed
TXN-10097,CUST-227,20/03/2022,54,F,usa,Clothing,$483.83,10,2.1,PayPal,pending
TXN-10098, CUST_296 ,2023-11-25,74,F,United States,home,489.76,10,4.2,paypal,Cancelled
TXN-10099,CUST-236,01-27-2022,75,MALE,U.S.A.,books,180.69,two,2.7,CC,Completed
TXN-10100,CUST-254,2023-11-28,47,  Female  ,UK,CLOTHING,487.74,2,3.2,bank_transfer,Completed
TXN-10101,CUST-393,2023-08-28,,F,CA,Books,356.37,1,4.5,Credit Card,Pending
TXN-10102, CUST_284 ,2022-06-07,34,M,U.S.A., Electronics ,$166.32,7,1.3,Cash,Returned
TXN-10103,CUST-131,"Apr 30, 2024",63,Other,us,CLOTHING,577.77,6,1.9,credit_card,completed
TXN-10104,CUST-338,09-05-2024,65,Female,Deutschland, beauty ,€149.80,3,,credit_card,Cancelled
TXN-10105,CUST-307,01-06-2022,73,Other,U.S.A.,Home & Kitchen,310.71,4,3.4,,
TXN-10106,CUST-259,2023/11/03,,Female,United States,home,$17.98,4,2.3,Wire Transfer,Cancelled
TXN-10107,,2022/11/29,62,MALE,United States,CLOTHING,432.43,2,1.3,,
TXN-10108,CUST-213,2024-06-02,22,F,germany,Home,211.98,4,3.8,credit_card,Cancelled
TXN-10109,CUST-168,10-17-2022,73,male,France,CLOTHING,130.76,three,3.6,bank_transfer,pending
TXN-10110,CUST-332,2024-02-01,42,M,uk,home,507.93,1,4.1,Cash,Refunded
TXN-10111,CUST-291,"Sep 09, 2023",40,male,United Kingdom,Electronics,241.89,1,3.8,Cash,Pending
TXN-10112,CUST-381,19/09/2022,62,MALE,,Books,520.84,10,2.9,CC,Returned
TXN-10113,CUST-375,"Feb 29, 2024",63,female,Canada,Home,413.07,4,3.4,CC,Refunded
TXN-10114,CUST-211,22/05/2024,39,Femal,United Kingdom,Apparel,$251.73,3,2.4,paypal,Completed
TXN-10115,,"Mar 09, 2024",75,female,UK,Beauty,192.36,5,10.0,Credit Card,Returned
TXN-10116,CUST-370,10/02/2024,56,F,Germany,Clothing,12.18,6,,Cash,Pending
TXN-10117,CUST-139,"May 18, 2023",64,Male,usa, Electronics ,247.99,6,4.8,bank_transfer,Refunded
TXN-10118,CUST-157,08-01-2024,,Female,Germany, beauty ,505.01,4,2.9,bank_transfer,pending
TXN-10119, CUST_380 ,10/09/2023,40,F,us,Beauty & Health,256.72,10,1.7,CC,Cancelled
TXN-10120,CUST-203,04-09-2022,44,Other,FR,Apparel,181.32,2,2.6,paypal,Pending
TXN-10121,CUST-176,"May 17, 2023",65,M,France,Beauty,96.79,5,1.9,Credit Card,Completed
TXN-10122, CUST_366 ,05-03-2023,36,F,germany,electronics,553.3,4,3.0,bank_transfer,COMPLETE
TXN-10123,CUST-205,2023-03-10,62,F,france,Apparel,,3,0.0,PayPal,Refunded
TXN-10124,CUST-350,04-10-2024,29,  Female  ,U.S.A.,Books,$401.89,6,2.3,PayPal,Refunded
TXN-10125, CUST_361 ,"Mar 21, 2023",55,Female,Germany,Apparel,-$105.75,6,3.4,Credit Card,COMPLETE
TXN-10126,CUST-128,06-10-2023,50,Other,USA,Books,,5,2.9,CC,Completed
TXN-10127,CUST-362,24/11/2023,-5,female,france,CLOTHING,123.43,two,2.8,CC,Returned
TXN-10128,CUST-388,01/01/2024,41,Female,DE,home,,2,3.3,credit_card,COMPLETE
TXN-10129, CUST_336 ,2023/06/24,47,  Female  ,DE,Clothing,409.24,5,2.4,credit_card,
TXN-10130,CUST-257,"Apr 25, 2023",46,Femal,us,home,58.65,7,3.3,PayPal,COMPLETE
TXN-10131,CUST-302,"Mar 31, 2024",64,Male,USA,electronics,60.86,2,1.3,Wire Transfer,Pending
TXN-10132,CUST-101,05-11-2022,67,Female,United Kingdom,electronics,211.38,3,4.3,paypal,canceled
TXN-10133,CUST-396,"Jun 20, 2023",150,Male,france,Clothing,41.79,7,2.8,PayPal,canceled
TXN-10134, CUST_316 ,2022/02/18,21,,U.S.A.,home,$135.27,2,1.3,CC,completed
TXN-10135,CUST-132,2022/02/16,75,Femal,france, Electronics ,-$56.61,7,1.9,Cash,Completed
TXN-10136,CUST-130,"Mar 12, 2023",50,MALE,USA,Electronics,268.19,10,4.7,credit_card,COMPLETE
TXN-10137,CUST-135,2023/11/08,45,M,uk,home,€357.73,5,,paypal,canceled
TXN-10138,CUST-341,12-30-2022,42,Femal,usa, Electronics ,440.49,-1,2.7,paypal,completed
TXN-10139,,2024/02/27,29,Other,United Kingdom,home,62.76,9,2.6,CC,pending
TXN-10140, CUST_169 ,,20,F,DE,Beauty,418.17,4,4.5,,Refunded
TXN-10141,CUST-315,19/04/2023,65,female,FR,home,283.19,-1,1.6,Credit Card,completed
TXN-10142,CUST-295,"May 13, 2024",64,Female,Germany,Electronics,-$147.31,1,2.2,credit_card,canceled
TXN-10143,CUST-293,,51,MALE,U.S.A.,home,$467.45,1,1.8,Wire Transfer,Cancelled
TXN-10144,CUST-376,12-23-2023,74,Other,USA,CLOTHING,-$132.17,8,,bank_transfer,Refunded
TXN-10145, CUST_278 ,"Jan 12, 2024",24,Male,us,CLOTHING,347.47,9,,Credit Card,Returned
TXN-10146, CUST_375 ,2023/04/06,28,F,U.S.A.,Home,578.83,6,,Cash,Pending
TXN-10147,CUST-165,16/12/2022,35,F,,Home & Kitchen,509.33,10,2.0,,completed
TXN-10148,CUST-214,2022/03/22,32,Femal,United States,books,132.81,,3.0,,pending
TXN-10149,CUST-111,2023-11-21,36,Femal,DE,CLOTHING,531.68,5,4.9,paypal,Refunded
TXN-10150,CUST-337,2022-01-19,34,Femal,canada,Home,120.91,10,5.0,Cash,Completed
TXN-10151,CUST-378,14/01/2022,66,Other,canada,Beauty,366.33,3,3.0,Cash,pending
TXN-10152,CUST-294,"Apr 17, 2023",32,Male,UK,electronics,€338.57,1,4.6,paypal,completed
TXN-10153,CUST-226,2024/09/15,27,F,United States, beauty ,330.43,10,4.2,paypal,Returned
TXN-10154,CUST-179,2022/11/07,-1,Other,us,Home & Kitchen,,3,,bank_transfer,Returned
TXN-10155,CUST-157,09-24-2023,,,france,Clothing,34.26,8,3.9,Wire Transfer,Completed
TXN-10156, CUST_314 ,"Sep 13, 2024",75,M,, beauty ,$129.01,4,1.3,bank_transfer,completed
TXN-10157,CUST-108,31/03/2022,69,male,U.S.A.,electronics,289.57,2,1.9,Credit Card,pending
TXN-10158,CUST-134,2022-07-15,49,male,France,Home,439.97,9,2.4,Cash,Cancelled
TXN-10159, CUST_117 ,14/12/2023,19,Female,usa, Electronics ,150.39,two,3.2,CC,Refunded
TXN-10160,CUST-124,"Aug 03, 2022",36,F,Great Britain,Home & Kitchen,,10,1.0,Credit Card,canceled
TXN-10161,CUST-122,28/10/2023,54,F,UK,electronics,340.38,7,1.3,paypal,canceled
TXN-10162,CUST-219,2023/10/04,46,F,USA,Clothing,$305.70,8,1.1,CC,Cancelled
TXN-10163,CUST-128,"Nov 05, 2022",71,MALE,Germany,Home & Kitchen,148.93,2,3.2,paypal,canceled
TXN-10164, CUST_248 ,2023-03-09,25,Male,,Books,$410.52,4,3.7,Wire Transfer,completed
TXN-10165,CUST-394,13/07/2024,72,Femal,USA,Home & Kitchen,364.2,1,3.9,Cash,COMPLETE
TXN-10166,CUST-264,"Apr 01, 2023",74,  Female  ,Deutschland,Home & Kitchen,472.75,3,3.8,credit_card,Refunded
TXN-10167,CUST-173,"May 30, 2024",34,Female,france,CLOTHING,$287.11,3,1.8,bank_transfer,Cancelled
TXN-10168,CUST-366,07-26-2022,-1,male,CA,Books,177.01,5,1.3,Cash,Refunded
TXN-10169,CUST-253,"May 03, 2024",64,female,Germany,Beauty,,-1,3.9,Cash,Refunded
TXN-10170,CUST-385,2022-01-09,40,Male,DE,,553.33,4,1.4,bank_transfer,Completed
TXN-10171,CUST-189,"Jan 01, 2024",65,  Female  ,DE,,459.04,1,1.1,paypal,COMPLETE
TXN-10172,CUST-318,"May 18, 2024",64,,Canada,Books,561.19,4,1.3,,Returned
TXN-10173,CUST-124,2023/09/03,28 yrs,Female,uk,Home,278.81,4,3.5,Credit Card,
TXN-10174,CUST-295,"Feb 07, 2022",35,Male,usa,Electronics,358.27,5,4.1,bank_transfer,Cancelled
TXN-10175,CUST-263,2023/06/10,65,Female,Great Britain,Clothing,$91.02,2,1.5,bank_transfer,pending
TXN-10176,,"Aug 15, 2024",67,M,USA,books,145.87,2,1.8,Credit Card,COMPLETE
TXN-10177, CUST_292 ,2022/03/04,62 yrs,F,FR, Electronics ,99.87,5,,bank_transfer,COMPLETE
TXN-10178,,,20,Femal,usa,electronics,521.14,3,1.0,Credit Card,Pending
TXN-10179,CUST-215,2023-07-21,63,,France,Home & Kitchen,32.81,9,1.5,Wire Transfer,Completed
TXN-10180,CUST-173,"Oct 26, 2023",38,MALE,United Kingdom,Apparel,99.36 USD,5,1.6,paypal,Cancelled
TXN-10181,CUST-129,"Apr 30, 2022",53,,, Electronics ,154.56,1,1.9,,COMPLETE
TXN-10182,CUST-313,10-24-2023,74,Femal,Canada,Home & Kitchen,43.83,5,1.8,PayPal,Returned
TXN-10183,CUST-168,2023-03-23,58,Male,usa,home,140.63,6,1.6,bank_transfer,Refunded
TXN-10184,CUST-230,14/01/2024,33,Male,Great Britain,Apparel,312.18,,2.1,Wire Transfer,Cancelled
TXN-10185,CUST-140,25/03/2023,42,Other,us, beauty ,€114.08,8,2.3,Credit Card,Refunded
TXN-10186,CUST-289,08-25-2023,32,F,Canada,Beauty & Health,€333.32,2,1.5,Credit Card,Refunded
TXN-10187, CUST_197 ,"May 23, 2024",34,Other,FR,CLOTHING,317.54,9,3.3,credit_card,Pending
TXN-10188, CUST_293 ,"Oct 28, 2022",49,  Female  ,,home,10.41,2,3.2,Cash,Cancelled
TXN-10189,,05-03-2024,64,M,DE,CLOTHING,202.18,7,1.4,Credit Card,Completed
TXN-10190,CUST-196,29/03/2024,26,M,U.S.A.,Home,55.04,1,2.6,CC,pending
TXN-10015,CUST-400,2022-10-17,74,Other,usa,Beauty & Health,415.58,10,4.4,PayPal,
TXN-10192,CUST-386,13/05/2022,-1,  Female  ,United States,Beauty,$200.61,5,3.4,,Pending
TXN-10193,CUST-206,"Sep 13, 2023",,Femal,United Kingdom,home,268.33,4,2.9,bank_transfer,canceled
TXN-10194,CUST-270,"Mar 02, 2023",53 yrs,Female,Canada, beauty ,415.39,10,1.0,bank_transfer,Pending
TXN-10195,CUST-107,2022/08/03,63,female,uk, Electronics ,125.04,4,1.0,,Returned
TXN-10196,CUST-197,,44,F,uk,Home,78.97,6,4.6,paypal,canceled
TXN-10197,CUST-160,,57,Femal,United States,Home,,3,,PayPal,pending
TXN-10198,CUST-345,01/01/2023,55,female,Germany,Books,474.22,6,,Wire Transfer,Refunded
TXN-10199,,2024/05/30,40,MALE,France,books,132.0,10,-1.0,PayPal,Returned
TXN-10200,CUST-222,,60,  Female  ,canada, beauty ,$388.99,two,2.9,Credit Card,canceled
TXN-10201,CUST-244,2023-03-17,74,Female,Deutschland, Electronics ,377.12,2,,credit_card,Cancelled
TXN-10202,CUST-373,2022/05/04,32,Male,United Kingdom,home,548.6,2,2.2,Credit Card,Pending
TXN-10203,CUST-257,09-22-2022,60,male,,Books,283.13,,3.2,Credit Card,Returned
TXN-10204,CUST-362,2024-02-27,68,Female,UK,Home,470.22 USD,7,0.0,bank_transfer,canceled
TXN-10205,CUST-338,07-25-2023,56,Other,France,Home,436.96,5,2.2,Cash,canceled
TXN-10206, CUST_340 ,2024/05/23,48,female,CA,,25.09,10,2.7,paypal,COMPLETE
TXN-10207,CUST-263,2022-04-17,32,Female,Canada,Books,557.5,3,3.1,bank_transfer,Cancelled
TXN-10208,CUST-289,"Mar 25, 2023",74,female,canada,Apparel,21.82,,2.2,CC,Pending
TXN-10172,CUST-123,2024-02-13,66,Male,,Beauty,7.05,4,1.0,paypal,pending
TXN-10210,CUST-213,2024/03/11,46,Female,USA,Apparel,36.15,7,3.6,PayPal,canceled
TXN-10211,CUST-108,2024-05-28,60,female,United Kingdom,Clothing,25.56,7,2.6,bank_transfer,Completed
TXN-10212,CUST-399,2022/02/12,29,Male,UK,Beauty,105.83,3,3.8,bank_transfer,canceled
TXN-10213,CUST-313,2023-10-08,38,Female,CA,home,186.02,4,10.0,credit_card,Pending
TXN-10214,CUST-200,07-21-2024,40,F,Canada,home,55.46,7,4.3,credit_card,Completed
TXN-10215,,"Oct 27, 2022",63,Femal,Canada, Electronics ,385.99,-1,2.5,CC,COMPLETE
TXN-10216,CUST-225,2023-05-26,74,MALE,us,books,182.02,2,3.8,paypal,canceled
TXN-10217,CUST-272,01-08-2023,69,Other,us,,-$180.58,9,4.2,PayPal,pending
TXN-10218,CUST-350,06/05/2022,56,MALE,U.S.A.,CLOTHING,€340.94,4,1.2,Cash,Cancelled
TXN-10219,CUST-351,2023-03-02,33,Other,canada, beauty ,286.58,1,3.2,bank_transfer,canceled
TXN-10220,CUST-280,"Apr 08, 2024",,Female,,Beauty,306.27,4,3.6,credit_card,COMPLETE
TXN-10221, CUST_379 ,02/06/2023,31,male,Great Britain,Clothing,255.05,5,1.9,PayPal,Returned
TXN-10222,CUST-377,"Jan 17, 2023",68,Male,Canada,Home,555.97,3,4.0,bank_transfer,COMPLETE
TXN-10223,CUST-130,12/11/2023,53,Male,germany,electronics,260.67,7,4.4,Wire Transfer,Pending
TXN-10224,CUST-138,2024/02/11,34,Male,USA,CLOTHING,$422.96,3,5.0,credit_card,Completed
TXN-10225,CUST-124,22/08/2022,44,Femal,usa, beauty ,208.37 USD,4,2.4,bank_transfer,pending
TXN-10226,CUST-311,"Feb 28, 2023",46,M,france,,399.1,4,1.8,paypal,completed
TXN-10227, CUST_218 ,2024/09/01,34,F,CA,books,508.93,5,4.1,credit_card,pending
TXN-10327, CUST_177 ,2023-01-06,35,Female,Great Britain, beauty ,245.11,9,99.0,bank_transfer,pending
TXN-10229, CUST_358 ,2024-02-28,32,F,,books,161.11,4,4.3,Cash,completed
TXN-10230,CUST-130,2023-06-14,70,Femal,Great Britain, beauty ,47.23,8,3.7,CC,Refunded
TXN-10231,CUST-347,"Nov 19, 2022",,female,FR,Home,164.02,9,2.9,bank_transfer,pending
TXN-10232,CUST-108,"Jun 18, 2022",32,male,FR,CLOTHING,389.18,10,3.2,,Cancelled
TXN-10233, CUST_382 ,2024-02-17,28,female,france,home,266.13 USD,1,1.2,Cash,pending
TXN-10234,CUST-108,19/10/2023,67,Female,Great Britain,Home & Kitchen,297.67 USD,6,-1.0,Cash,completed
TXN-10235,CUST-240,2022/03/01,57,Male,germany,Clothing,409.24,3,3.4,credit_card,Returned
TXN-10236,CUST-246,"Mar 06, 2023",26,MALE,us,CLOTHING,503.99,9,1.1,bank_transfer,COMPLETE
TXN-10237, CUST_320 ,2023/12/19,19,male,UK, beauty ,506.06,10,2.4,PayPal,pending
,CUST-191,01-09-2024,19,Female,,Beauty & Health,51.05,9,4.6,Cash,Returned
TXN-10239, CUST_149 ,01-09-2022,23,Other,France,Beauty,425.11,1,3.8,Cash,Cancelled
TXN-10240,CUST-223,18/09/2023,39,female,,,355.62,4,1.5,,completed
TXN-10241, CUST_369 ,02/04/2023,67,Other,canada,Beauty & Health,192.42,1,1.3,Credit Card,canceled
TXN-10242,CUST-281,2023/10/02,22,M,Deutschland,,520.73,6,4.4,Wire Transfer,Refunded
TXN-10243,CUST-303,12-16-2023,51,Femal,France,CLOTHING,481.26,9,1.5,bank_transfer,COMPLETE
TXN-10244, CUST_307 ,"Mar 11, 2024",52,Male,uk,books,413.54 USD,9,4.6,bank_transfer,canceled
TXN-10245,CUST-224,06-21-2024,28,,United Kingdom,Beauty & Health,264.73,6,3.8,paypal,Returned
TXN-10246,CUST-215,07-05-2023,43,MALE,CA,electronics,74.58 USD,8,4.1,bank_transfer,COMPLETE
TXN-10247,CUST-141,07/01/2024,32,Male,Canada,Beauty,299.33 USD,1,2.5,credit_card,Pending
TXN-10248,CUST-116,07-08-2023,28,Male,FR,Electronics,65.35,7,1.2,PayPal,Returned
TXN-10249, CUST_294 ,2023/06/08,39,female,usa, beauty ,$362.11,10,2.4,CC,Cancelled
TXN-10250,CUST-343,15/12/2022,53,MALE,Deutschland, beauty ,561.06,7,2.3,bank_transfer,completed
TXN-10251, CUST_104 ,,18,female,U.S.A.,Home,392.3,4,3.4,CC,Completed
TXN-10252,CUST-142,2023/07/07,,,Germany,books,546.59,2,1.4,CC,Cancelled
TXN-10253,CUST-322,05-02-2024,,Female,canada,CLOTHING,176.55,8,2.8,PayPal,pending
TXN-10254,CUST-269,2023-06-02,24,MALE,Great Britain,Beauty & Health,140.65,1,3.2,credit_card,completed
TXN-10255,CUST-148,05-11-2024,68,Male,UK,Books,,2,,CC,Pending
TXN-10256,CUST-121,06-04-2023,28,Femal,Canada,home,113.56,9,2.3,Cash,Refunded
TXN-10257,CUST-390,2024-02-14,19,MALE,France,home,446.08,1,1.6,paypal,COMPLETE
TXN-10258,CUST-123,2023-08-10,67,Male,Germany, beauty ,526.03,10,2.3,CC,Pending
,CUST-243,2022/08/30,20,male,usa,electronics,$104.62,3,1.4,Credit Card,
TXN-10260,CUST-388,2024/07/04,25,MALE,CA,CLOTHING,320.98,8,1.0,Cash,Returned
